id,customer_name,sentiment,csat_score,call_timestamp,Call_Day,reason,city,state,channel,response_time,call_duration_in_minutes,call_center
FDH-40562257-I-369231-do,"Annalise Rebillard",Neutral,6,10/22/2020,22,"Billing Question",Bakersfield,California,Email,"Within SLA",38,Baltimore/MD
FDI-49155936-b-874071-eN,"Diana Beckford",Neutral,0,10-06-2020,6,"Billing Question","Grand Rapids",Michigan,Call-Center,"Below SLA",34,Baltimore/MD
FDJ-05785595-A-459202-NQ,"Lita Vannuccinii","Very Negative",0,10/13/2020,13,Payments,"Palm Bay",Florida,Call-Center,"Above SLA",21,Denver/CO
FDJ-66541388-G-864701-PW,"Dotty Petkens","Very Positive",0,10/15/2020,15,"Billing Question",Katy,Texas,Email,"Below SLA",24,Baltimore/MD
FDK-51684641-d-478902-Po,"Hymie Corballis",Positive,8,10/16/2020,16,"Billing Question",Austin,Texas,Chatbot,"Within SLA",30,Baltimore/MD
FDK-63159631-M-728015-Ff,"Bern Ravilus",Positive,9,10/17/2020,17,"Billing Question",Charlotte,"North Carolina",Chatbot,"Within SLA",15,Baltimore/MD
FDK-94210041-A-453607-MR,"Hermon Balthasar",Neutral,0,10-04-2020,4,"Billing Question",Arlington,Virginia,Web,"Within SLA",13,Baltimore/MD
FDL-55322498-X-281367-Z8,"Barrie Garrould","Very Negative",2,10-07-2020,7,"Billing Question",Columbia,"South Carolina",Web,"Within SLA",45,"Los Angeles/CA"
FDM-51973423-P-033172-2N,"Stacy Hindsberg",Negative,0,10/20/2020,20,"Billing Question",Ashburn,Virginia,Email,"Above SLA",34,"Los Angeles/CA"
FDN-36292643-p-700545-xR,"Gilburt Yearnsley",Positive,0,10/17/2020,17,Payments,"Saint Petersburg",Florida,Call-Center,"Below SLA",14,"Los Angeles/CA"
FDN-92905501-I-904396-Dl,"Worthy Treleaven",Positive,7,10/13/2020,13,"Billing Question","Sioux Falls","South Dakota",Web,"Within SLA",7,"Los Angeles/CA"
FDO-78213560-i-636803-68,"Kanya Wanjek",Positive,0,10/17/2020,17,"Service Outage","Fort Wayne",Indiana,Chatbot,"Above SLA",36,Baltimore/MD
FDP-43100847-s-051689-nk,"Ryan Tilberry",Positive,0,10-10-2020,10,Payments,"Vero Beach",Florida,Call-Center,"Within SLA",44,Chicago/IL
FDP-47362286-z-176602-Cn,"Alain Leif",Neutral,0,10-09-2020,9,"Billing Question",Paterson,"New Jersey",Call-Center,"Within SLA",29,Baltimore/MD
FDQ-23684556-1-348595-7m,"Karney Bulfield","Very Negative",4,10-08-2020,8,"Billing Question",Lansing,Michigan,Call-Center,"Within SLA",31,"Los Angeles/CA"
FDQ-49205508-D-383376-xw,"Lara Smallshaw",Negative,6,10-09-2020,9,"Billing Question",Chandler,Arizona,Chatbot,"Within SLA",43,Baltimore/MD
FDR-71408491-x-464158-Gk,"Kelley Curado","Very Positive",9,10/27/2020,27,"Billing Question",Chicago,Illinois,Web,"Below SLA",19,Denver/CO
FDR-73880970-4-060255-is,"Marabel Bockmaster",Neutral,0,10/15/2020,15,"Billing Question","Newport Beach",California,Web,"Below SLA",14,"Los Angeles/CA"
FDS-56515900-Y-077537-C1,"Joseito Terese",Negative,0,10-05-2020,5,"Billing Question",Savannah,Georgia,Call-Center,"Above SLA",23,Baltimore/MD
FDS-57059652-1-457311-Hw,"Craggie Fernandes",Positive,9,10/19/2020,19,"Billing Question",Houston,Texas,Email,"Within SLA",34,Baltimore/MD
FDS-61599102-l-914080-kh,"Jeffrey Davidzon","Very Positive",10,10/23/2020,23,"Billing Question",Rochester,"New York",Chatbot,"Within SLA",35,"Los Angeles/CA"
FDT-04687479-U-317797-ks,"Oran Ace","Very Negative",3,10-02-2020,2,"Billing Question","Las Vegas",Nevada,Chatbot,"Within SLA",25,Chicago/IL
FDU-00164311-9-335913-Sm,"Eugenie Scardefield",Negative,0,10/17/2020,17,"Billing Question",Boise,Idaho,Chatbot,"Above SLA",8,"Los Angeles/CA"
FDV-29366704-P-693830-m8,"Howey Whanstall","Very Negative",1,10-07-2020,7,"Billing Question",Bronx,"New York",Web,"Within SLA",34,Chicago/IL
FDV-56817663-1-520236-Ke,"Mikael Devenish",Positive,0,10/18/2020,18,Payments,Fresno,California,Call-Center,"Within SLA",12,Chicago/IL
FDV-72736539-G-535853-ml,"Tammie Ezele",Negative,0,10/24/2020,24,"Billing Question",Mesa,Arizona,Web,"Within SLA",20,"Los Angeles/CA"
FDW-43072073-h-482106-xA,"Randall Stanton","Very Negative",0,10-05-2020,5,"Billing Question","Palm Bay",Florida,Email,"Within SLA",33,Chicago/IL
FDY-00475665-d-494067-gp,"Traver Tonepohl","Very Negative",2,10/30/2020,30,"Billing Question","Colorado Springs",Colorado,Chatbot,"Below SLA",32,Chicago/IL
FDY-26709528-b-777474-rq,"Celia Antonsson",Neutral,0,10/17/2020,17,"Billing Question","New York City","New York",Web,"Within SLA",20,"Los Angeles/CA"
FDY-58274858-G-537984-N3,"Ebeneser Witz","Very Negative",0,10-05-2020,5,"Billing Question","Corpus Christi",Texas,Chatbot,"Below SLA",24,"Los Angeles/CA"
FDY-95427271-n-120062-g5,"Dicky McGarrell",Negative,3,10/13/2020,13,"Billing Question","New York City","New York",Web,"Within SLA",12,Baltimore/MD
FDZ-17547819-U-038056-sT,"Denys Davidi",Negative,0,10/17/2020,17,"Service Outage",Augusta,Georgia,Web,"Within SLA",33,"Los Angeles/CA"
FDZ-38128035-0-916621-0a,"Bobbye Weed",Negative,0,10-10-2020,10,"Billing Question","Baton Rouge",Louisiana,Chatbot,"Above SLA",14,"Los Angeles/CA"
FDZ-76422212-M-730629-8R,"Farand Dillicate",Negative,0,10-03-2020,3,"Billing Question",Austin,Texas,Email,"Above SLA",12,"Los Angeles/CA"
FDZ-91771966-v-441772-5T,"Torrie Devigne",Neutral,5,10/18/2020,18,"Billing Question",Memphis,Tennessee,Call-Center,"Within SLA",17,Chicago/IL
FEA-03077834-K-055654-IJ,"Melisa Briar","Very Positive",10,10/13/2020,13,"Billing Question","Saint Petersburg",Florida,Email,"Within SLA",21,Baltimore/MD
FEA-36368873-B-913890-ce,"Zorina Tethacot",Negative,3,10-02-2020,2,"Billing Question","El Paso",Texas,Web,"Within SLA",23,"Los Angeles/CA"
FEC-72515274-s-372023-ap,"Hetti Boughen",Negative,0,10/29/2020,29,"Service Outage",Atlanta,Georgia,Chatbot,"Below SLA",17,Baltimore/MD
FED-11741017-0-361553-Yh,"Sanders Biggerstaff",Negative,6,10/25/2020,25,Payments,Dayton,Ohio,Call-Center,"Within SLA",24,Baltimore/MD
FEE-16197627-K-629270-22,"Lydon Wingeat","Very Negative",0,10-02-2020,2,Payments,"West Palm Beach",Florida,Call-Center,"Within SLA",33,"Los Angeles/CA"
FEE-18469067-p-065413-wn,"Nanni Domleo","Very Positive",0,10/20/2020,20,"Billing Question",Washington,"District of Columbia",Web,"Within SLA",29,Chicago/IL
FEE-51349541-U-429881-UY,"Erik Hanbidge",Negative,0,10-05-2020,5,"Billing Question",Sacramento,California,Web,"Above SLA",7,Baltimore/MD
FEF-05762342-7-193314-QP,"Dewie Follet",Negative,0,10/23/2020,23,"Service Outage",Cincinnati,Ohio,Email,"Below SLA",41,Baltimore/MD
FEF-38529830-H-860452-ea,"Muhammad Rouse","Very Negative",1,10/17/2020,17,"Billing Question","Sioux Falls","South Dakota",Email,"Within SLA",11,Baltimore/MD
FEG-85785933-0-142907-rx,"Lynnette Wichard","Very Negative",0,10/19/2020,19,"Billing Question",Cleveland,Ohio,Chatbot,"Within SLA",10,Baltimore/MD
FEG-93167012-g-460025-f5,"Lancelot Bentinck",Neutral,0,10-05-2020,5,"Service Outage",Lexington,Kentucky,Email,"Within SLA",24,Baltimore/MD
FEH-41491132-8-209996-fp,"Reidar Balme",Negative,4,10-09-2020,9,"Service Outage",Boston,Massachusetts,Email,"Above SLA",13,"Los Angeles/CA"
FEI-43582388-N-302440-Rj,"Marjie Sheerin",Negative,0,10/23/2020,23,"Service Outage",Houston,Texas,Chatbot,"Below SLA",45,"Los Angeles/CA"
FEI-84429987-j-858663-19,"Brodie Lemm",Neutral,0,10-07-2020,7,Payments,Shreveport,Louisiana,Call-Center,"Within SLA",40,Baltimore/MD
FEJ-03158961-3-355168-ZT,"Riki Flindall","Very Negative",4,10/30/2020,30,"Billing Question","San Antonio",Texas,Web,"Within SLA",18,Baltimore/MD
FEJ-06065320-r-706832-Zg,"Forrester Henrichs","Very Negative",0,10/17/2020,17,"Billing Question","Fort Pierce",Florida,Email,"Within SLA",11,Chicago/IL
FEJ-93618958-R-353566-cC,"Sandor Dener",Neutral,6,10/29/2020,29,"Service Outage",Atlanta,Georgia,Chatbot,"Within SLA",19,"Los Angeles/CA"
FEK-76777227-p-081551-b2,"Kendricks Medmore",Neutral,0,10/26/2020,26,"Billing Question",Atlanta,Georgia,Email,"Below SLA",29,"Los Angeles/CA"
FEL-50327327-9-988433-ki,"Wilona Denyukin",Neutral,0,10-02-2020,2,"Billing Question","Corpus Christi",Texas,Call-Center,"Within SLA",9,"Los Angeles/CA"
FEL-51020824-n-099420-9o,"Cassey Josofovitz","Very Positive",0,10-10-2020,10,"Billing Question",Detroit,Michigan,Chatbot,"Within SLA",42,Baltimore/MD
FEL-57203362-a-223352-Wf,"Kip Trowbridge","Very Negative",2,10/21/2020,21,Payments,Denver,Colorado,Call-Center,"Within SLA",42,Chicago/IL
FEL-58038546-h-218967-U7,"Raoul Bosma",Negative,0,10-08-2020,8,Payments,Philadelphia,Pennsylvania,Call-Center,"Below SLA",5,"Los Angeles/CA"
FEM-34760397-T-194510-03,"Georgia Davids",Neutral,0,10/17/2020,17,Payments,Washington,"District of Columbia",Call-Center,"Within SLA",7,"Los Angeles/CA"
FEM-51632648-Z-690721-vW,"Eadith Hulks",Neutral,7,10/14/2020,14,"Billing Question","Saint Louis",Missouri,Email,"Within SLA",37,"Los Angeles/CA"
FEM-77287553-v-184910-3v,"Pail Mayward",Positive,7,10-01-2020,1,"Billing Question",Raleigh,"North Carolina",Call-Center,"Below SLA",44,"Los Angeles/CA"
FEN-68026997-U-728297-h3,"Erastus Baudinet",Negative,0,10/30/2020,30,"Billing Question",Monticello,Minnesota,Call-Center,"Within SLA",13,Baltimore/MD
FEO-08763642-l-596178-zy,"Mirabel Rispine",Negative,6,10/18/2020,18,"Billing Question","Fort Wayne",Indiana,Call-Center,"Within SLA",22,Chicago/IL
FEO-17806309-Q-762942-P7,"Georgianna Spinas",Neutral,0,10/15/2020,15,Payments,Gaithersburg,Maryland,Call-Center,"Within SLA",14,Baltimore/MD
FEO-34989924-w-837635-IW,"Tammara Lennon",Negative,0,10-02-2020,2,"Billing Question",Harrisburg,Pennsylvania,Chatbot,"Above SLA",42,Chicago/IL
FEO-66549798-3-486092-jJ,"Ainslie Kelston",Negative,4,10-11-2020,11,"Billing Question",Bronx,"New York",Call-Center,"Below SLA",30,Baltimore/MD
FEO-80798718-w-548567-7b,"Mufi Zylbermann","Very Positive",10,10/17/2020,17,Payments,Boulder,Colorado,Call-Center,"Within SLA",31,Denver/CO
FEQ-11777787-D-709024-Js,"Diego Turley","Very Negative",4,10/30/2020,30,Payments,Spokane,Washington,Call-Center,"Below SLA",24,"Los Angeles/CA"
FEQ-29013532-k-262594-eb,"Thomasina Canacott",Neutral,0,10/29/2020,29,Payments,"New Brunswick","New Jersey",Call-Center,"Below SLA",9,Denver/CO
FEQ-61017222-x-456641-S5,"Nat Ricardet",Negative,0,10/15/2020,15,"Billing Question",Dallas,Texas,Web,"Within SLA",32,"Los Angeles/CA"
FEQ-92512011-4-728787-1o,"Care Ruslin",Negative,0,10-06-2020,6,Payments,Lawrenceville,Georgia,Call-Center,"Within SLA",20,Baltimore/MD
FER-32328733-i-431843-04,"Marlee Matschuk",Neutral,0,10-10-2020,10,"Service Outage",Baltimore,Maryland,Web,"Within SLA",19,"Los Angeles/CA"
FES-09116830-M-220059-Hd,"Emlen Gianolo","Very Positive",10,10/14/2020,14,"Billing Question","Winter Haven",Florida,Web,"Within SLA",27,Baltimore/MD
FES-71406848-A-903982-Wy,"Sophey Kupker","Very Positive",0,10-03-2020,3,"Billing Question","Colorado Springs",Colorado,Chatbot,"Below SLA",29,"Los Angeles/CA"
FET-01076433-2-722059-GE,"Evelyn Karle",Neutral,0,10-02-2020,2,"Service Outage",Waco,Texas,Chatbot,"Within SLA",11,Baltimore/MD
FET-31210559-t-872934-LC,"Starlene Farnham",Neutral,0,10-11-2020,11,"Billing Question",Provo,Utah,Call-Center,"Within SLA",16,"Los Angeles/CA"
FET-48872450-z-818164-fv,"Malanie O'Harney","Very Negative",0,10-09-2020,9,"Service Outage","Lake Worth",Florida,Chatbot,"Within SLA",25,Baltimore/MD
FET-73866266-O-877385-ut,"Yvor Kolyagin","Very Negative",4,10/25/2020,25,"Billing Question",Atlanta,Georgia,Email,"Below SLA",36,Baltimore/MD
FEU-25156529-M-448210-EQ,"Corbett Dorcey","Very Negative",0,10-12-2020,12,"Billing Question","Idaho Falls",Idaho,Email,"Above SLA",33,"Los Angeles/CA"
FEV-92425381-e-677862-i6,"Florry Hatrey",Neutral,0,10/22/2020,22,"Billing Question",Tallahassee,Florida,Chatbot,"Within SLA",30,"Los Angeles/CA"
FEW-27753477-C-007960-aA,"Anastassia Ditzel","Very Positive",10,10/23/2020,23,Payments,Pueblo,Colorado,Call-Center,"Within SLA",45,Chicago/IL
FEW-72063210-s-973001-V1,"Alex Bussens",Neutral,0,10/25/2020,25,"Billing Question",Columbia,"South Carolina",Email,"Within SLA",33,"Los Angeles/CA"
FEW-86962639-W-934539-IK,"Corilla Bedle",Neutral,0,10-04-2020,4,"Billing Question",Phoenix,Arizona,Email,"Below SLA",28,Denver/CO
FEW-90892573-I-908977-mO,"Adair Crowson","Very Positive",0,10-06-2020,6,Payments,Washington,"District of Columbia",Call-Center,"Below SLA",44,Denver/CO
FEW-98357458-m-692609-is,"Kristina Peasby","Very Negative",4,10/27/2020,27,"Billing Question",Gatesville,Texas,Email,"Within SLA",41,"Los Angeles/CA"
FEX-32655954-e-676289-Ng,"Marietta Elland",Neutral,0,10-08-2020,8,"Billing Question",Bronx,"New York",Web,"Below SLA",41,Chicago/IL
FEX-38177062-Y-659587-ZV,"Onida Pitcaithly",Negative,0,10-07-2020,7,"Billing Question",Pittsburgh,Pennsylvania,Call-Center,"Within SLA",41,"Los Angeles/CA"
FEY-51825997-c-806396-N1,"Garnette Cragell",Negative,0,10/26/2020,26,"Billing Question",Huntsville,Alabama,Chatbot,"Within SLA",27,"Los Angeles/CA"
FEY-72355629-b-745570-Ft,"Blair Ivashchenko",Positive,7,10/27/2020,27,Payments,"Colorado Springs",Colorado,Call-Center,"Within SLA",7,Baltimore/MD
FEY-77147361-c-205348-45,"Orazio Shefton",Neutral,8,10-10-2020,10,Payments,Waterbury,Connecticut,Call-Center,"Below SLA",44,"Los Angeles/CA"
FEZ-05453363-I-424310-DE,"Jeannette Silkstone","Very Negative",2,10/26/2020,26,"Billing Question",Montgomery,Alabama,Call-Center,"Below SLA",18,Baltimore/MD
FEZ-08123881-m-338607-VU,"Freddie Colquhoun",Neutral,0,10-10-2020,10,"Billing Question",Springfield,Ohio,Email,"Within SLA",31,"Los Angeles/CA"
FEZ-40297201-h-424473-pF,"Gloriane Gissing",Negative,5,10/24/2020,24,"Billing Question",Montgomery,Alabama,Web,"Within SLA",44,Baltimore/MD
FEZ-47986868-b-786884-2t,"Dido Strowlger",Positive,0,10/24/2020,24,Payments,Worcester,Massachusetts,Call-Center,"Within SLA",21,Denver/CO
FFA-00092074-5-696975-51,"Noel Hoys",Negative,4,10-07-2020,7,"Billing Question",Seattle,Washington,Call-Center,"Below SLA",12,"Los Angeles/CA"
FFA-34527981-N-415626-YY,"Alvera Juanes",Positive,9,10/21/2020,21,"Billing Question",Detroit,Michigan,Web,"Below SLA",41,Baltimore/MD
FFA-47315032-W-787257-I9,"Merissa Bisp","Very Negative",0,10-02-2020,2,"Service Outage",Huntsville,Texas,Web,"Below SLA",39,"Los Angeles/CA"
FFA-73339146-t-879867-LG,"Edlin Mazzey",Negative,0,10/16/2020,16,"Billing Question",Topeka,Kansas,Email,"Within SLA",42,"Los Angeles/CA"
FFA-92348926-9-541440-f1,"Shela Justice","Very Positive",10,10/28/2020,28,Payments,Sacramento,California,Call-Center,"Above SLA",24,Baltimore/MD
FFB-06904985-Q-921819-5K,"Dyann Romain","Very Negative",1,10-05-2020,5,"Billing Question","Colorado Springs",Colorado,Email,"Within SLA",21,Baltimore/MD
FFB-13134746-F-872159-Uh,"Zacherie Philipson",Negative,6,10/23/2020,23,"Billing Question",Littleton,Colorado,Email,"Within SLA",14,Baltimore/MD
FFB-27656476-T-403615-lV,"Lindon Tilmouth","Very Positive",9,10-11-2020,11,"Billing Question",Boise,Idaho,Web,"Within SLA",18,"Los Angeles/CA"
FFB-31812278-8-186385-Ul,"Leoine Lanyon",Negative,0,10-12-2020,12,"Billing Question",Akron,Ohio,Chatbot,"Below SLA",26,Chicago/IL
FFB-73027182-r-492915-CX,"Isadore Stag",Negative,0,10/28/2020,28,Payments,Toledo,Ohio,Call-Center,"Within SLA",32,Chicago/IL
FFC-15603850-0-954581-tk,"Emmery Brackley",Positive,7,10/20/2020,20,"Billing Question","Colorado Springs",Colorado,Call-Center,"Within SLA",11,"Los Angeles/CA"
FFC-43857700-f-055773-Um,"Trever Kerner",Negative,0,10/26/2020,26,Payments,"Saint Louis",Missouri,Call-Center,"Within SLA",5,Chicago/IL
FFD-22105607-r-658540-8g,"Sophia Adderson",Positive,0,10/15/2020,15,"Billing Question","New York City","New York",Chatbot,"Within SLA",18,Baltimore/MD
FFD-95747800-D-308836-mG,"Idell Westoll",Negative,5,10-08-2020,8,"Billing Question","Maple Plain",Minnesota,Chatbot,"Within SLA",27,Denver/CO
FFE-57799884-s-728299-vc,"Nicolais Spoor",Positive,7,10-03-2020,3,"Billing Question",Charlotte,"North Carolina",Chatbot,"Within SLA",35,"Los Angeles/CA"
FFF-55087742-t-312784-AL,"Meredith Athow",Negative,0,10-06-2020,6,Payments,Tampa,Florida,Call-Center,"Within SLA",20,"Los Angeles/CA"
FFG-77879705-e-164873-wK,"Chelsie Forward",Neutral,0,10-03-2020,3,"Billing Question",Indianapolis,Indiana,Web,"Within SLA",42,Baltimore/MD
FFH-41137693-P-880792-7S,"Emera Christopher","Very Positive",0,10/26/2020,26,"Billing Question",Bronx,"New York",Web,"Below SLA",29,Baltimore/MD
FFH-98934966-h-609657-cy,"Barrie Mackett",Negative,0,10-07-2020,7,"Billing Question",Prescott,Arizona,Call-Center,"Above SLA",36,"Los Angeles/CA"
FFI-66951173-z-503151-iT,"Lavina Willoughway","Very Negative",0,10/26/2020,26,"Billing Question",Erie,Pennsylvania,Call-Center,"Below SLA",19,"Los Angeles/CA"
FFI-76896456-O-708442-zS,"Joan Daniel",Neutral,5,10-05-2020,5,"Billing Question",Spokane,Washington,Chatbot,"Below SLA",23,"Los Angeles/CA"
FFI-96589754-1-189491-60,"Marlyn Dumpleton",Neutral,5,10-08-2020,8,"Billing Question","San Antonio",Texas,Email,"Within SLA",13,Baltimore/MD
FFJ-10224342-A-323866-fK,"Vitia Wohler",Negative,0,10/24/2020,24,"Billing Question","Wilkes Barre",Pennsylvania,Email,"Within SLA",14,"Los Angeles/CA"
FFJ-45478078-n-814558-m3,"Gracie Domoney",Neutral,0,10-12-2020,12,"Billing Question",Cincinnati,Ohio,Web,"Within SLA",30,Baltimore/MD
FFJ-65595230-z-512270-YC,"Cathlene Menloe",Negative,0,10-05-2020,5,"Billing Question","Fort Myers",Florida,Email,"Within SLA",22,Baltimore/MD
FFL-05183479-m-228584-oP,"Cthrine Inder","Very Positive",0,10/27/2020,27,"Billing Question","El Paso",Texas,Email,"Below SLA",9,Chicago/IL
FFL-41021993-b-283416-Pb,"Matty Latter",Positive,0,10-09-2020,9,"Billing Question","San Mateo",California,Web,"Above SLA",33,"Los Angeles/CA"
FFL-44610212-8-250011-5D,"Dunstan Badham",Negative,4,10/13/2020,13,"Billing Question","Terre Haute",Indiana,Chatbot,"Within SLA",7,Denver/CO
FFL-56434666-t-898200-bR,"James Picker",Negative,5,10-04-2020,4,"Billing Question",Chicago,Illinois,Email,"Below SLA",37,Baltimore/MD
FFL-70825304-N-194072-3N,"Ame Linsley","Very Negative",0,10-11-2020,11,"Billing Question","Sioux Falls","South Dakota",Chatbot,"Within SLA",40,Chicago/IL
FFL-90276625-A-575136-Hb,"Ashley Ianniello","Very Negative",0,10-04-2020,4,"Service Outage",Cleveland,Ohio,Email,"Below SLA",33,"Los Angeles/CA"
FFM-65373638-6-937787-uN,"Renata McMurthy",Negative,0,10-07-2020,7,"Billing Question",Washington,"District of Columbia",Web,"Below SLA",11,Baltimore/MD
FFN-55768133-I-612312-Hj,"Scot Klimek",Negative,3,10/18/2020,18,"Service Outage","San Jose",California,Email,"Above SLA",9,"Los Angeles/CA"
FFN-62598422-F-162336-bC,"Jeanette Hinksen","Very Negative",0,10/18/2020,18,"Billing Question",Portland,Oregon,Call-Center,"Above SLA",41,Baltimore/MD
FFN-99585578-S-664117-4E,"Kleon Paton",Negative,6,10/26/2020,26,"Billing Question","Lake Worth",Florida,Call-Center,"Within SLA",10,Denver/CO
FFO-47098456-L-319335-yg,"Kizzie Kabsch",Neutral,0,10/24/2020,24,Payments,"Las Cruces","New Mexico",Call-Center,"Within SLA",13,"Los Angeles/CA"
FFO-56738134-B-316747-qh,"Lona Civitillo",Neutral,6,10-08-2020,8,Payments,Washington,"District of Columbia",Call-Center,"Above SLA",14,"Los Angeles/CA"
FFP-30644756-J-954573-eE,"Angel Rhodes","Very Negative",0,10/28/2020,28,Payments,Abilene,Texas,Call-Center,"Above SLA",44,"Los Angeles/CA"
FFP-87016554-D-192589-P3,"Niki Keitch",Neutral,0,10/21/2020,21,"Billing Question","North Port",Florida,Chatbot,"Within SLA",42,Chicago/IL
FFP-94718154-k-091603-wO,"Oralia Lamcken","Very Negative",0,10/22/2020,22,"Billing Question",Milwaukee,Wisconsin,Web,"Within SLA",27,Chicago/IL
FFR-05170388-W-550063-H9,"Lucien Yashunin",Neutral,5,10-11-2020,11,"Billing Question",Amarillo,Texas,Chatbot,"Within SLA",13,"Los Angeles/CA"
FFR-17486081-C-579767-S6,"Christye McCraw","Very Negative",0,10-10-2020,10,"Service Outage",Chicago,Illinois,Chatbot,"Within SLA",23,"Los Angeles/CA"
FFR-63931122-B-903212-Bv,"Alvan Breagan","Very Negative",2,10/29/2020,29,"Billing Question",Loretto,Minnesota,Web,"Below SLA",42,Chicago/IL
FFS-72515181-i-118314-C3,"Dallon Le Friec",Neutral,0,10/17/2020,17,Payments,Sacramento,California,Call-Center,"Within SLA",21,"Los Angeles/CA"
FFU-32909731-X-922608-0g,"Rikki Ibarra","Very Negative",0,10/30/2020,30,"Billing Question",Miami,Florida,Call-Center,"Within SLA",17,Baltimore/MD
FFX-07686965-O-654834-Us,"Eustacia Ong","Very Negative",3,10/17/2020,17,"Billing Question",Lexington,Kentucky,Web,"Below SLA",41,Baltimore/MD
FFX-83240711-E-427291-jR,"Maible Sage",Negative,0,10-10-2020,10,"Billing Question",Tacoma,Washington,Chatbot,"Within SLA",44,"Los Angeles/CA"
FFY-50356944-c-320594-Ju,"Sibella Baudins",Neutral,0,10-11-2020,11,"Billing Question",Detroit,Michigan,Web,"Above SLA",23,"Los Angeles/CA"
FFY-53731540-A-340856-wD,"Marijo Corrao",Negative,5,10-06-2020,6,"Billing Question","San Bernardino",California,Chatbot,"Within SLA",24,Baltimore/MD
FFZ-33360010-D-305879-8k,"Steffie Kinkade",Neutral,0,10/16/2020,16,Payments,Canton,Ohio,Call-Center,"Within SLA",24,"Los Angeles/CA"
FFZ-59764202-O-068876-zV,"Allis Dorie",Negative,0,10/14/2020,14,"Billing Question",Littleton,Colorado,Chatbot,"Within SLA",5,Baltimore/MD
FGA-40579030-d-868550-Kc,"Stephani Whitehouse",Negative,6,10/23/2020,23,"Billing Question",Nashville,Tennessee,Email,"Within SLA",41,Baltimore/MD
FGA-62483541-5-268580-G5,"Marvin Braley",Neutral,0,10/16/2020,16,"Billing Question",Reno,Nevada,Call-Center,"Within SLA",13,"Los Angeles/CA"
FGB-22421006-I-841158-7X,"Alvera Ravens",Neutral,0,10/19/2020,19,"Billing Question",Dallas,Texas,Email,"Below SLA",18,Denver/CO
FGB-36242700-Z-270957-pQ,"Kelli O'Neal","Very Negative",1,10/30/2020,30,"Billing Question",Honolulu,Hawaii,Email,"Within SLA",35,Chicago/IL
FGD-13889796-h-224764-c0,"Liana Mallebone",Negative,0,10-12-2020,12,"Service Outage",Buffalo,"New York",Chatbot,"Within SLA",40,"Los Angeles/CA"
FGD-16698942-p-892573-Q3,"Barny Baughen","Very Negative",0,10/15/2020,15,"Service Outage",Atlanta,Georgia,Chatbot,"Within SLA",40,"Los Angeles/CA"
FGD-45771485-h-690206-Xj,"Nerte Furmston",Negative,0,10-03-2020,3,"Billing Question",Glendale,California,Call-Center,"Above SLA",11,Denver/CO
FGD-80353610-U-539648-NT,"Hadleigh Jean",Neutral,7,10-11-2020,11,"Billing Question",Huntington,"West Virginia",Web,"Above SLA",42,Baltimore/MD
FGD-91147329-G-552265-E1,"Audrie Beals","Very Negative",1,10/13/2020,13,"Billing Question",Seattle,Washington,Web,"Within SLA",14,Chicago/IL
FGE-49588533-V-731258-Xr,"Katine Climie","Very Negative",0,10/17/2020,17,"Billing Question",Chesapeake,Virginia,Web,"Within SLA",10,"Los Angeles/CA"
FGF-29588753-u-121272-lT,"Analiese Hickenbottom",Neutral,0,10/24/2020,24,"Billing Question",Fresno,California,Chatbot,"Below SLA",24,Baltimore/MD
FGG-55647287-g-236905-hL,"Henrik Palle",Negative,0,10-11-2020,11,"Service Outage",Washington,"District of Columbia",Chatbot,"Within SLA",39,Baltimore/MD
FGG-79492018-2-872859-I9,"Kakalina Longthorn","Very Negative",3,10/26/2020,26,"Billing Question",Buffalo,"New York",Call-Center,"Within SLA",11,"Los Angeles/CA"
FGH-74444649-c-647835-B5,"Nell Cass",Negative,3,10/19/2020,19,"Service Outage",Boise,Idaho,Chatbot,"Within SLA",37,Denver/CO
FGI-88881923-7-116853-i3,"Colman Newark",Neutral,0,10/14/2020,14,Payments,Savannah,Georgia,Call-Center,"Below SLA",30,Baltimore/MD
FGJ-33233681-v-611244-GL,"Skipp Anselm","Very Negative",1,10/17/2020,17,"Billing Question",Pensacola,Florida,Email,"Within SLA",21,Denver/CO
FGK-00056885-L-405532-QE,"Karoline Stivey",Negative,0,10/17/2020,17,"Service Outage","Santa Barbara",California,Chatbot,"Within SLA",12,Baltimore/MD
FGK-51336093-M-777436-GD,"Sande Carvill",Negative,0,10/28/2020,28,"Billing Question",Beaufort,"South Carolina",Call-Center,"Within SLA",8,"Los Angeles/CA"
FGL-21016612-O-679125-6Q,"Gino Keable",Neutral,0,10/16/2020,16,"Billing Question",Naperville,Illinois,Chatbot,"Within SLA",5,"Los Angeles/CA"
FGL-46394876-d-578898-wJ,"Kylila Kincaid",Negative,5,10/23/2020,23,"Billing Question",Toledo,Ohio,Call-Center,"Below SLA",45,Denver/CO
FGL-48368350-U-733857-ux,"Elianore Tallent","Very Negative",0,10/23/2020,23,"Billing Question",Houston,Texas,Web,"Above SLA",41,Baltimore/MD
FGM-18427475-D-054729-3X,"Maggie Wilden","Very Negative",3,10/29/2020,29,"Service Outage",Brockton,Massachusetts,Web,"Within SLA",18,"Los Angeles/CA"
FGM-79214652-O-706837-gK,"Elise Tesoe",Negative,0,10/13/2020,13,Payments,Philadelphia,Pennsylvania,Call-Center,"Within SLA",25,Baltimore/MD
